league,name,hex,rgb,cmyk
epl,AFC Bournemouth,"['E62333', '000000']","['230 35 51', '0 0 0']","['0.0 84.78260869565219 77.82608695652175 0.0980392156862745', '0 0 0 0']"
epl,Arsenal,"['EF0107', '023474', '9C824A']","['239 1 7', '2 52 116', '156 130 74']","['0.0 99.581589958159 97.07112970711297 0.06274509803921569', '98.27586206896552 55.17241379310346 0.0 0.5450980392156863', '0.0 16.66666666666668 52.564102564102555 0.388235294117647']"
epl,Burnley,"['8CCCE5', '53162F', 'F9EC34']","['140 204 229', '83 22 47', '249 236 52']","['38.8646288209607 10.917030567685588 0.0 0.10196078431372546', '0.0 73.49397590361446 43.37349397590361 0.6745098039215687', '0.0 5.220883534136539 79.11646586345383 0.02352941176470591']"
epl,Chelsea,"['034694', 'DBA111', 'ED1C24']","['3 70 148', '219 161 17', '237 28 36']","['97.97297297297298 52.702702702702695 0.0 0.41960784313725485', '0.0 26.48401826484018 92.23744292237444 0.14117647058823535', '0.0 88.18565400843882 84.81012658227849 0.07058823529411762']"
epl,Crystal Palace,"['1B458F', 'C4122E', 'A7A5A6']","['27 69 143', '196 18 46', '167 165 166']","['81.11888111888112 51.74825174825176 0.0 0.4392156862745098', '0.0 90.81632653061224 76.53061224489795 0.2313725490196078', '0.0 1.1976047904191574 0.5988023952095787 0.34509803921568627']"
epl,Everton,['274488'],['39 68 136'],['71.32352941176471 50.000000000000014 0.0 0.4666666666666667']
epl,Hull City,"['F5A12D', '000000']","['245 161 45', '0 0 0']","['0.0 34.28571428571429 81.63265306122449 0.039215686274509776', '0 0 0 0']"
epl,Leicester City,"['FDBE11', '0053A0']","['253 190 17', '0 83 160']","['0.0 24.90118577075099 93.2806324110672 0.007843137254901933', '100.0 48.12500000000001 0.0 0.37254901960784315']"
epl,Liverpool,"['00A398', 'D00027', 'FEF667']","['0 163 152', '208 0 39', '254 246 103']","['100.0 0.0 6.7484662576687064 0.36078431372549025', '0.0 100.0 81.25 0.1843137254901961', '0.0 3.149606299212598 59.44881889763779 0.0039215686274509665']"
epl,Manchester City,"['98c5e9', '00285e', 'f4bc46']","['152 197 233', '0 40 94', '244 188 70']","['34.763948497854074 15.450643776824027 0.0 0.0862745098039216', '100.0 57.446808510638306 0.0 0.6313725490196078', '0.0 22.950819672131146 71.31147540983606 0.04313725490196074']"
